TRIG,particles,simulation_id,composition,energy,particles_normalized
TRIG1,1,114,Photon,3.16E14,0.0
TRIG1,13,288,Carbon,1E15,0.007874015748031496
TRIG2,4,236,Proton,1E14,0.001968503937007874
TRIG1,3,882,Proton,3.16E14,0.0013123359580052493
TRIG2,14,523,Photon,3.16E14,0.00853018372703412
TRIG3,29,644,Photon,1E15,0.01837270341207349
TRIG1,20,804,Photon,1E15,0.012467191601049869
TRIG2,19,351,Proton,1E15,0.011811023622047244
TRIG2,60,243,Photon,3.16E15,0.03871391076115485
TRIG3,72,90,Carbon,3.16E15,0.04658792650918635
TRIG2,36,652,Proton,1E15,0.022965879265091863
TRIG3,1,49,Iron,1E15,0.0
TRIG2,4,13,Proton,3.16E15,0.001968503937007874
TRIG1,4,82,Oxygen,1E15,0.001968503937007874
TRIG1,19,634,Photon,1E15,0.011811023622047244
TRIG2,1,188,Photon,3.16E14,0.0
TRIG1,38,52,Carbon,3.16E15,0.024278215223097113
TRIG3,12,289,Oxygen,3.16E14,0.007217847769028871
TRIG3,2,505,Photon,1E14,0.0006561679790026247
TRIG2,35,357,Photon,3.16E14,0.02230971128608924
TRIG3,5,717,Photon,1E14,0.0026246719160104987
TRIG1,9,697,Photon,3.16E14,0.005249343832020997
TRIG3,4,262,Nitrogen,1E15,0.001968503937007874
TRIG3,3,893,Iron,1E15,0.0013123359580052493
TRIG1,3,189,Iron,3.16E15,0.0013123359580052493
TRIG2,15,244,Proton,3.16E15,0.009186351706036745
TRIG3,2,708,Carbon,1E14,0.0006561679790026247
TRIG1,11,410,Proton,1E15,0.006561679790026247
TRIG3,38,28,Proton,1E15,0.024278215223097113
TRIG1,105,359,Proton,1E15,0.06824146981627296
TRIG3,6,68,Oxygen,1E15,0.0032808398950131233
TRIG2,1,16,Photon,1E14,0.0
TRIG1,1,901,Photon,1E14,0.0
TRIG1,1,531,Proton,3.16E14,0.0
TRIG2,10,6,Iron,1E15,0.005905511811023622
TRIG2,4,856,Iron,1E15,0.001968503937007874
TRIG2,2,167,Oxygen,1E15,0.0006561679790026247
TRIG3,4,912,Photon,1E15,0.001968503937007874
TRIG3,205,341,Proton,1E15,0.13385826771653542
TRIG3,1,726,Photon,3.16E14,0.0
TRIG3,3,230,Iron,3.16E15,0.0013123359580052493
TRIG2,2,513,Proton,3.16E14,0.0006561679790026247
TRIG2,7,279,Iron,1E15,0.003937007874015748
TRIG2,1,777,Photon,3.16E14,0.0
TRIG2,12,331,Iron,1E15,0.007217847769028871
TRIG1,17,260,Proton,1E15,0.010498687664041995
TRIG1,6,809,Proton,3.16E14,0.0032808398950131233
TRIG1,8,283,Iron,3.16E15,0.004593175853018373
TRIG2,6,18,Photon,3.16E15,0.0032808398950131233
TRIG2,9,12,Proton,1E14,0.005249343832020997
TRIG2,11,31,Oxygen,3.16E15,0.006561679790026247
TRIG1,37,12,Carbon,3.16E15,0.023622047244094488
TRIG3,22,243,Carbon,1E15,0.013779527559055118
TRIG2,140,593,Proton,1E15,0.09120734908136482
TRIG3,7,643,Photon,1E15,0.003937007874015748
TRIG3,7,121,Oxygen,1E15,0.003937007874015748
TRIG2,11,855,Photon,1E15,0.006561679790026247
TRIG3,2,772,Iron,3.16E14,0.0006561679790026247
TRIG2,107,182,Iron,3.16E15,0.06955380577427822
TRIG1,10,127,Proton,3.16E14,0.005905511811023622
TRIG3,10,309,Photon,3.16E15,0.005905511811023622
TRIG2,1,178,Carbon,3.16E14,0.0
TRIG3,4,291,Oxygen,1E15,0.001968503937007874
TRIG1,5,15,Oxygen,1E15,0.0026246719160104987
